seq_id	loci
@M05522:50:000000000-BW89L:1:1111:15515:5809	TRA
@M05522:50:000000000-BW89L:1:1107:24610:9909	TRB
@M05522:50:000000000-BW89L:1:1111:14888:22422	TRA
@M05522:50:000000000-BW89L:1:2102:13368:13565	TRB
@M05522:50:000000000-BW89L:1:1109:26573:12435	TRA
@M05522:50:000000000-BW89L:1:1109:6588:24315	TRA
@M05522:50:000000000-BW89L:1:1106:5448:15489	TRB
@M05522:50:000000000-BW89L:1:2102:22904:12258	TRA
@M05522:50:000000000-BW89L:1:2114:24801:7781	TRB
@M05522:50:000000000-BW89L:1:1114:20674:21554	TRB
@M05522:50:000000000-BW89L:1:1110:12121:22721	TRB
@M05522:50:000000000-BW89L:1:1105:4509:12859	TRA
@M05522:50:000000000-BW89L:1:2107:14053:8240	TRA
@M05522:50:000000000-BW89L:1:2104:15658:2656	TRB
@M05522:50:000000000-BW89L:1:2105:22362:11938	TRB
@M05522:50:000000000-BW89L:1:2102:12769:16716	TRB
@M05522:50:000000000-BW89L:1:1106:25668:11397	TRA
@M05522:50:000000000-BW89L:1:2112:16332:9038	TRB
@M05522:50:000000000-BW89L:1:1114:15270:17358	TRB
@M05522:50:000000000-BW89L:1:2105:15719:4279	TRB
@M05522:50:000000000-BW89L:1:2106:16169:1722	TRA
@M05522:50:000000000-BW89L:1:1104:25185:8316	TRA
@M05522:50:000000000-BW89L:1:2103:27624:12712	TRA
@M05522:50:000000000-BW89L:1:2105:9439:21717	TRB
@M05522:50:000000000-BW89L:1:1101:21734:22219	TRB
@M05522:50:000000000-BW89L:1:1114:21719:10333	TRB
@M05522:50:000000000-BW89L:1:1108:19161:14674	TRB
@M05522:50:000000000-BW89L:1:1107:12568:5542	TRB
@M05522:50:000000000-BW89L:1:1111:19744:11335	TRB
@M05522:50:000000000-BW89L:1:1107:16661:1369	TRB
@M05522:50:000000000-BW89L:1:1108:24829:19718	TRB
@M05522:50:000000000-BW89L:1:2111:18323:11760	TRB
@M05522:50:000000000-BW89L:1:2101:19273:12426	TRB
@M05522:50:000000000-BW89L:1:1105:8650:5065	TRA
@M05522:50:000000000-BW89L:1:1114:4820:15680	TRB
@M05522:50:000000000-BW89L:1:1107:4054:17432	TRB
@M05522:50:000000000-BW89L:1:1110:12166:21917	TRB
@M05522:50:000000000-BW89L:1:1113:23588:5020	TRA
@M05522:50:000000000-BW89L:1:1108:6417:7149	TRB
@M05522:50:000000000-BW89L:1:2112:11676:14131	TRB
@M05522:50:000000000-BW89L:1:2111:13997:12734	TRB
@M05522:50:000000000-BW89L:1:2103:9387:16074	TRB
@M05522:50:000000000-BW89L:1:1108:8149:14771	TRB
@M05522:50:000000000-BW89L:1:1113:17077:25721	TRB
@M05522:50:000000000-BW89L:1:2105:18359:20079	TRB
@M05522:50:000000000-BW89L:1:1103:19989:4658	TRB
@M05522:50:000000000-BW89L:1:1114:19897:19269	TRB
@M05522:50:000000000-BW89L:1:2109:28087:17982	TRB
@M05522:50:000000000-BW89L:1:1109:26640:22348	TRA
@M05522:50:000000000-BW89L:1:2111:7758:21357	TRB
@M05522:50:000000000-BW89L:1:1110:13910:20321	TRB
@M05522:50:000000000-BW89L:1:2110:15498:14853	TRB
@M05522:50:000000000-BW89L:1:1109:23069:22116	TRB
@M05522:50:000000000-BW89L:1:2111:13326:7751	TRB
@M05522:50:000000000-BW89L:1:2113:27622:10975	TRB
@M05522:50:000000000-BW89L:1:2109:28972:12644	TRB
